ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
34549;Alagoas;-36.9490;-9.9005;5295;5693;5636;5853;5343;4559;4382;4433;4933;5472;5553;5933;5750
34550;Alagoas;-36.8490;-9.9005;5294;5649;5619;5854;5301;4573;4343;4420;4927;5531;5626;5906;5776
34551;Alagoas;-36.7490;-9.9005;5251;5575;5598;5779;5257;4559;4289;4381;4853;5474;5578;5887;5779
34552;Alagoas;-36.6490;-9.9005;5248;5604;5594;5770;5271;4572;4306;4340;4837;5471;5552;5878;5776
34553;Alagoas;-36.5490;-9.9005;5260;5659;5614;5812;5271;4606;4341;4277;4883;5435;5566;5882;5769
34554;Alagoas;-36.4490;-9.9005;5237;5634;5606;5812;5281;4581;4278;4285;4791;5421;5537;5855;5764
34555;Alagoas;-36.3490;-9.9005;5231;5600;5607;5820;5248;4594;4274;4302;4818;5381;5520;5855;5751
34556;Alagoas;-36.2490;-9.9005;5274;5623;5776;5854;5215;4589;4302;4348;4838;5432;5595;5869;5845
34557;Alagoas;-36.1490;-9.9005;5349;5708;5844;5972;5301;4645;4350;4407;4953;5481;5716;5928;5886
34558;Alagoas;-36.0490;-9.9005;5373;5717;5874;6000;5320;4665;4374;4449;5004;5523;5726;5939;5888
34559;Alagoas;-35.9490;-9.9005;5491;5786;5931;6088;5390;4820;4447;4601;5193;5717;5901;6014;6005
34560;Alagoas;-35.8490;-9.9005;5690;5950;6137;6250;5612;4924;4602;4725;5408;5996;6179;6256;6244
34907;Alagoas;-37.4490;-9.8005;5408;5804;5847;5934;5485;4667;4385;4496;5032;5633;5704;6018;5892
34908;Alagoas;-37.3490;-9.8005;5420;5799;5829;5985;5459;4722;4439;4485;5030;5662;5707;6030;5894
34909;Alagoas;-37.2490;-9.8005;5378;5741;5749;5914;5424;4667;4419;4476;5035;5632;5658;6000;5819
